Tache,Duree,Poid,DateLiv
1,34,9,2873
2,72,10,1873
3,72,10,2780
4,18,6,2328
5,64,2,3841
6,65,1,2586
7,21,5,3488
8,34,1,1932
9,100,2,2260
10,33,7,3354
11,48,6,1204
12,26,10,1799
13,87,7,3494
14,91,2,1126
15,95,2,3196
16,42,2,3226
17,48,10,3423
18,65,2,2350
19,35,3,3226
20,84,3,3227
21,6,2,1658
22,30,8,2933
23,35,2,3599
24,21,5,2603
25,46,7,1657
26,80,6,1121
27,53,10,1499
28,87,10,3572
29,35,3,3286
30,14,4,2073
31,30,4,2130
32,29,2,3945
33,99,6,3129
34,92,3,1095
35,14,6,3981
36,43,3,1782
37,74,9,1852
38,15,4,2927
39,43,10,3563
40,29,2,2366
41,56,8,2301
42,79,5,2193
43,60,8,3740
44,97,5,3233
45,85,9,1278
46,21,10,1117
47,32,10,2901
48,72,5,3706
49,47,6,3350
50,13,10,3550
51,82,5,2613
52,47,10,1211
53,94,5,2883
54,78,5,1901
55,31,5,3201
56,75,2,3816
57,93,6,3660
58,35,6,2806
59,10,4,3059
60,70,2,2048
61,39,5,3010
62,81,4,1697
63,76,9,3364
64,34,6,1430
65,26,7,1010
66,15,10,1793
67,26,8,1913
68,3,6,3861
69,36,7,3740
70,24,3,1547
71,65,3,1616
72,70,3,1011
73,37,1,1417
74,86,4,1017
75,21,10,3145
76,54,4,1750
77,34,7,3216
78,22,10,1586
79,76,7,2210
80,87,1,1513
81,82,3,3677
82,60,8,2171
83,54,1,3672
84,59,10,3092
85,36,6,1856
86,18,5,2401
87,8,4,3170
88,30,8,3789
89,82,8,2323
90,37,9,3560
91,94,6,2305
92,8,4,3654
93,25,4,3745
94,21,10,2972
95,44,9,3990
96,63,4,2626
97,15,3,2959
98,70,9,2192
99,2,1,3281
100,91,3,1319
